cand id	similarity score	R score	P score	score
512	0.8789315	0.88121355	0.8766613	0.5
513	0.8634167	0.89509004	0.8339083	-1.0
514	0.8870018	0.89397573	0.8801358	0.0
515	0.8667482	0.87652314	0.8571889	1.0
516	0.87574697	0.8901116	0.86183846	0.0
517	0.8684027	0.8511346	0.8863861	0.0
518	0.8564668	0.84981024	0.8632286	0.5
519	0.8760351	0.8647125	0.8876581	0.0
520	0.85111785	0.8528844	0.84935856	0.0
521	0.87484264	0.9075538	0.84440744	0.0
522	0.83456945	0.83415645	0.83498275	-0.5
523	0.8696903	0.8803767	0.8592602	0.0
524	0.84369725	0.88316965	0.8076023	1.0
525	0.8939318	0.8894628	0.8984458	0.5
526	0.87608695	0.8845698	0.8677651	0.0
527	0.86650395	0.85801345	0.8751642	-0.5
528	0.88826466	0.9043846	0.8727094	1.0
529	0.86782575	0.8640625	0.8716219	0.5
530	0.91914296	0.92556155	0.9128127	0.5
531	0.8707388	0.8729874	0.8685018	0.5
532	0.8343059	0.8288525	0.83983153	-1.0
533	0.8548246	0.879735	0.8312861	0.0
534	0.85496056	0.8393198	0.8711953	-0.5
535	0.844196	0.8319771	0.85677916	0.5
536	0.8843099	0.90256405	0.86677945	0.0
537	0.865516	0.86196584	0.86909544	0.0
538	0.8769757	0.8917657	0.8626682	0.5
539	0.8963563	0.8953173	0.8973976	1.0
540	0.8940481	0.8865229	0.90170205	0.0
541	0.82068247	0.82069576	0.8206692	0.0
542	0.8428069	0.8441632	0.841455	-1.0
543	0.85764664	0.89000547	0.82755816	0.0
544	0.85639143	0.8770399	0.8366928	0.0
545	0.8662322	0.8872982	0.8461433	0.5
546	0.88806427	0.8627072	0.91495705	0.0
547	0.86362857	0.8559695	0.87142587	0.5
548	0.84265506	0.8298963	0.8558123	-1.0
549	0.8462456	0.84360254	0.8489052	-0.5
550	0.8494897	0.8424208	0.85667807	0.0
551	0.87644535	0.86426467	0.8889744	-0.5
552	0.8397944	0.8319948	0.8477418	-1.0
553	0.8939307	0.8963881	0.89148664	0.5
554	0.8504909	0.8712749	0.8306754	-1.0
555	0.91078275	0.9144809	0.9071144	-0.5
556	0.8312998	0.82249886	0.840291	0.0
557	0.90468884	0.8959454	0.9136046	1.0
558	0.85538894	0.85285616	0.8579367	0.5
559	0.85100067	0.8655496	0.8369328	0.5
560	0.8778058	0.8872812	0.8685307	0.0
561	0.8617739	0.83642375	0.8887087	0.0
562	0.84568256	0.85783887	0.83386594	0.0
563	0.8420299	0.84574884	0.8383435	-1.0
564	0.8559491	0.85027254	0.861702	0.0
565	0.8346913	0.83598304	0.8334034	0.0
566	0.8008212	0.80166316	0.79998106	0.5
567	0.87402815	0.86565197	0.882568	0.0
568	0.8944819	0.889987	0.89902246	1.0
569	0.81114775	0.8006967	0.8218752	0.5
570	0.8793223	0.8835964	0.8750893	0.0
571	0.8847975	0.8967903	0.8731212	0.5
572	0.88994163	0.89399016	0.8859296	0.0
573	0.91518754	0.93979424	0.89183664	0.0
574	0.8450803	0.85142803	0.83882654	0.5
575	0.8729384	0.8958655	0.8511556	0.0
576	0.8272497	0.81974214	0.83489597	-1.0
577	0.8577658	0.86968845	0.84616554	1.0
578	0.86225206	0.8520078	0.8727457	0.0
